It really hurts ..... I cry with the family that you will not know any more grief,0
Our dear man,0
Well done and good luck,0
"Tel Hai, Ruby. In all this sadness you were a ray of light of hope. There is indeed a president in Israel",0
Clean hands and a hearty good luck to you and us.,0
Ruby Happy holiday and good luck in the presidential election.,0
The president does not shake hands. Enough of the brawl one can express an opinion and resist but not physically. It is her choice to marry a Muslim. We wish her success!,0
"Honorable President, there is nothing better for you in the world than to be the President of the State of Israel. The people of Israel love you and God loves you and you are an example and role model for every person.",0
"Congratulations to you, Mr. President, as a right-wing man, I think love will win.",0
"Mr. President, sorry for the bluntness, stop fucking the mind. To this day, you have not said a word about the situation in the country. You did not express your sympathy for the army. You did not say a kind and encouraging word to the people of the south. If Tisha B'Av is important to you, then go back in history and disappear from our sight.",1
Good luck Mr. President,0
And I still thought a normal president had arrived,1
The detached white president is smart to speak. He will not be there in the moment of truth to help her heal the terrible wounds she will receive. Detached and alienated from his people. I despise him.,1
"A successful way in a stormy sea !!! Believes that you will continue to behave as you did when you were Speaker of the Knesset, with integrity and enlightened liberalism, and detached from the political swamp ...",0
Dear Robbie Rivlin !! Are you a family man?,1
You Deserve !!!!,0
Amen,0
"Wow exciting! With the help of God, the President of the State of Israel !!",0
Not another week in the job and you already forgot where you came from?,1
Successfully,0
Mr. President . If democracy and the future of coexistence are important to you do an act and go be a guest of honor at this wedding.,0
"Rivlin I just deleted you, how much I loved you for it was said ""Sage for Wisdom Silence"" """"",1
If there's anyone who deserves it it's you..good luck,0
Get started !! Another coward! Cahana Was Right,1
"Honorable President, I was not happy on the day of your election, I did not think I would hear Shimon Peres from your throat so quickly,",1
"With the comments written here, you have a lot of work to do as president, good luck!",0
Ruby ... one joke a week ... the people of Israel need an occasional smile.,0
"The honor of the next president is upon us for good. Happy for your future meeting with Abu Mazen, ask him to explain how it fits in with any arrangement: The Palestinian Authority pays salaries to terrorists imprisoned in Israel every month. Every month. You don't just pay, you pay well: you murder more -> you sat longer -> you got more money ** A terrorist who is a lecturer for five to ten years earns NIS 4,000 a month. A terrorist who lectures for 10-15 years earns NIS 6,000 a month. A terrorist who has been serving for 25-30 years, earns NIS 10,000 a month. And the heaviest terrorists, the most cruel murderers, sentenced to more than 30 years, receive NIS 12,000 a month. (Barghouti, for example) ** In addition, every Palestinian prisoner imprisoned in Israel receives NIS 400 for private expenses twice a year. There is also a supplement for those who are married and a special supplement for children. ** In Palestinian terms, this is a huge salary. ** About 4,000 released prisoners continue to receive salaries after their release. ""Preferred work"" also has a pension. ** So did Ziad Awad, the late Baruch Mizrahi killer who was released in the Shalit deal, received a salary from the Palestinian Authority in the first prison, was released and received a salary from a released terrorist, and now his ""conditions"" will be raised in Abu Mazen's preferred job: he is a murderer A Jew and returned to prison. Amazing . """,1
"By the time you publish the post. The poor and needy bride got up in the morning and received and one presidential encouragement. Maybe she still had an answer pondering. But such a seal for a poor girl without a spine ... you may have tilted the spoon. Honorable President, in any case, these messages will be read to you when your day comes ... in the hope that you will have time to get an answer by then. Poor man like you",1
"Honorable President, well done, I support your every word.",0
Honorable to the Honorable President.,0
